paper_id,authors,title,venue,year,DOI/URL,abstract,relevance_score,key_contributions,algorithmic_approach,evaluation_metrics,dataset_used,relevance_to_thesis,category
basu2011,"S. Basu Roy, G. Das, S. Amer-Yahia, and C. Yu",Interactive Itinerary Planning,"Proceedings of the 27th IEEE International Conference on Data Engineering (ICDE), Hannover, Germany",2011,10.1109/ICDE.2011.5767920,"Foundational work establishing interactive itinerary planning as a three-step iterative process with user feedback. Proves NP-completeness of the problem even for simple scoring functions, justifying heuristic approaches. Develops efficient algorithms including GreedyPOISelection and HeapPrunGreedyPOI for real-time recommendations.",5,"Proves NP-completeness of interactive itinerary planning; Develops GreedyPOISelection and HeapPrunGreedyPOI algorithms; Establishes three-step interactive planning framework","Greedy heuristics with heap-based pruning, O(n²) complexity","User satisfaction, computational time, POI coverage","Synthetic POI datasets, real city data","Essential baseline for thesis - introduces core problem formulation and establishes computational complexity",Interactive_Planning
liao2019,"L. Liao, R. Takanobu, Y. Ma, X. Yang, M. Huang, and T.-S. Chua",Deep Conversational Recommender in Travel,arXiv preprint arXiv:1907.00710,2019,https://arxiv.org/abs/1907.00710,"Proposes Deep Conversational Recommender (DCR) system using sequence-to-sequence models with neural latent topics and Graph Convolutional Networks. Enables natural language dialogue for interactive travel planning across multiple sub-tasks including POI recommendation and itinerary planning.",4,"Introduces neural conversational framework for travel planning; Combines seq2seq models with GCNs for POI relationships; Enables multi-task travel planning through dialogue","Sequence-to-sequence with attention, Graph Convolutional Networks","BLEU score, task completion rate, user engagement metrics","TravelDialog dataset with 10K conversations","Demonstrates advanced interactive planning approach using modern NLP techniques",Interactive_Planning
yahi2015,"A. Yahi, A. Chassang, L. Raynaud, H. Duthil, and D. H. Chau",Aurigo: An Interactive Tour Planner for Personalized Itineraries,"Proceedings of the 20th International Conference on Intelligent User Interfaces (IUI), Atlanta, GA, USA",2015,10.1145/2678025.2701366,"Hybrid approach combining recommendation algorithms with interactive visualization for personalized itinerary creation. User studies demonstrate 70% preference over Google Maps for personalized tour planning. Implements real-time visual feedback for itinerary modifications.",4,"Combines algorithmic recommendations with interactive visualization; Achieves 70% user preference over Google Maps; Implements real-time visual feedback system","Hybrid recommendation with interactive visualization","User preference ratings, task completion time, usability scores","Paris POI dataset with user reviews","Shows importance of interactive interfaces for preference-based ranking",Interactive_Planning
xie2011,"M. Xie, L. V. S. Lakshmanan, and P. T. Wood",CompRec-Trip: A Composite Recommendation System for Travel Planning,"Proceedings of the 27th IEEE International Conference on Data Engineering (ICDE), Hannover, Germany",2011,Not provided,"Automatic generation of composite travel recommendations with rich GUI for customization. Allows flexible package configuration within cost and time budgets. Integrates multiple data sources for comprehensive travel planning including flights, hotels, and attractions.",3,"Develops composite travel package recommendations; Integrates multiple travel components (flights, hotels, POIs); Provides flexible GUI for package customization","Constraint-based optimization with user interface","Package quality score, budget adherence, user satisfaction","TripAdvisor and Expedia datasets","Relevant for multi-component itinerary ranking and budget constraints",Interactive_Planning
xie2024,J. Xie et al.,TravelPlanner: A Benchmark for Real-World Planning with Language Agents,arXiv preprint arXiv:2402.01622,2024,https://arxiv.org/abs/2402.01622,"Provides comprehensive benchmark with 1,225 meticulously curated planning queries and nearly 4 million data records. Current language agents achieve only 0.6% success rate, highlighting the complexity of real-world travel planning. Essential benchmark for evaluation.",5,"Creates largest travel planning benchmark with 1,225 queries; Reveals current AI agents achieve only 0.6% success; Provides 4M+ data records for evaluation","Language model agents with planning modules","Success rate, constraint satisfaction, plan feasibility","1,225 real-world queries across major cities including NYC","Critical benchmark for evaluating thesis algorithms on real-world data",Ranking_Algorithms
sun2020,K. Sun et al.,"Where to Go Next: Modeling Long- and Short-Term User Preferences for Point-of-Interest Recommendation","Proceedings of the AAAI Conference on Artificial Intelligence, vol. 34, no. 01",2020,Not provided,"Advanced neural architecture for POI recommendation considering both long-term preferences and short-term intentions. Directly applicable to ranking itinerary segments by modeling user behavior patterns. Achieves state-of-the-art performance on multiple datasets.",4,"Models both long-term and short-term user preferences; Develops neural architecture for sequential POI recommendation; Achieves SOTA on multiple benchmarks","LSTM with attention mechanism for preference modeling","Precision@K, Recall@K, MRR, NDCG","Foursquare NYC, Tokyo check-in data","Directly applicable to ranking itinerary segments based on user preferences",Ranking_Algorithms
gu2020,"J. Gu, C. Song, W. Jiang, X. Wang, and M. Liu",Enhancing Personalized Trip Recommendation with Attractive Routes,"Proceedings of the AAAI Conference on Artificial Intelligence, vol. 34, no. 01",2020,10.1609/aaai.v34i01.5407,"Introduces 'Attractive Routes' concept using gravity model in category space. Provides interactive optimization balancing time cost with user experience. Develops novel route attractiveness metrics beyond simple POI coverage.",4,"Introduces gravity model for route attractiveness; Balances time efficiency with user experience; Develops novel attractiveness metrics","Gravity model with interactive optimization","Route attractiveness score, time efficiency, user satisfaction","Beijing taxi trajectories with POI data","Novel approach to ranking routes based on attractiveness rather than just POI count",Ranking_Algorithms
verbeeck2014,"C. Verbeeck, K. Sörensen, E. H. Aghezzaf, and P. Vansteenwegen",A Fast Solution Method for the Time-Dependent Orienteering Problem,European Journal of Operational Research,2014,Not provided,"Presents efficient algorithms for time-dependent routing crucial for real-time itinerary ranking. Methods handle varying travel times throughout the day. Directly applicable to dynamic POI scheduling in urban environments.",4,"Solves time-dependent orienteering problem efficiently; Handles real-world varying travel times; Provides fast solution for dynamic environments","Variable neighborhood search with time-dependent costs","Solution quality, computation time, optimality gap","Synthetic and real road networks","Essential for handling time-dependent aspects in NYC itinerary ranking",Ranking_Algorithms
lim2018,"K. H. Lim, J. Chan, C. Leckie, and S. Karunasekera","Personalized Trip Recommendation for Tourists Based on User Interests, Points of Interest Visit Durations and Visit Recency",Knowledge and Information Systems,2018,10.1007/s10115-017-1056-y,"Comprehensive framework incorporating user interests, POI visit duration patterns, and temporal preferences. Essential for preference-aware ranking implementation. Validates approach on real tourist trajectory data from multiple cities.",5,"Integrates user interests with POI visit durations; Models visit recency for temporal preferences; Validates on multi-city tourist data","Collaborative filtering with temporal modeling","Precision, recall, F1-score, tour popularity","Flickr photo trajectories from 8 cities","Core reference for preference-based itinerary ranking with temporal aspects",User_Preferences
huang2019,"L. Huang, Y. Ma, S. Wang, and Y. Liu",An Attention-Based Spatiotemporal LSTM Network for Next POI Recommendation,IEEE Transactions on Services Computing,2019,Not provided,"Attention mechanisms for capturing user preferences in sequential contexts. Provides neural architecture for learning complex preference patterns. Achieves significant improvements over baseline methods in next-POI prediction.",4,"Develops attention-based LSTM for POI sequences; Captures spatio-temporal dependencies; Improves next-POI prediction accuracy","LSTM with spatio-temporal attention","Acc@K, MRR, distance error","Foursquare NYC, Tokyo datasets","Neural architecture applicable to learning itinerary preferences",User_Preferences
rahmani2022,"H. A. Rahmani, Y. Deldjoo, and T. di Noia","The Role of Context Fusion on Accuracy, Beyond-Accuracy, and Fairness of Point-of-Interest Recommendation Systems",Expert Systems with Applications,2022,Not provided,"Addresses fairness and context-awareness in preference modeling. Critical for ensuring equitable recommendations across user groups. Demonstrates importance of beyond-accuracy metrics in POI recommendation systems.",3,"Addresses fairness in POI recommendations; Integrates multiple context sources; Evaluates beyond-accuracy metrics","Context-aware collaborative filtering with fairness constraints","Accuracy, diversity, novelty, fairness metrics","Yelp and Foursquare datasets","Important for ensuring fair and diverse itinerary rankings",User_Preferences
chang2016,"H.-T. Chang, Y.-M. Chang, and M.-T. Tsai",ATIPS: Automatic Travel Itinerary Planning System for Domestic Areas,Computational Intelligence and Neuroscience,2016,Not provided,"Implements automatic preference learning that adapts to user behavior over time. Achieved 82% user satisfaction with gradual profile building approach. Demonstrates practical system for domestic travel planning.",3,"Implements adaptive preference learning; Achieves 82% user satisfaction rate; Builds user profiles gradually","Genetic algorithm with preference learning","User satisfaction, itinerary quality score","Taiwan domestic travel data","Shows importance of adaptive preference learning for ranking",User_Preferences
liu2024,C. Liu et al.,Spatio-Temporal Hierarchical Adaptive Dispatching for Ridesharing Systems,"Proceedings of the 32nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, Atlanta, GA, USA",2024,Not provided,"Hierarchical adaptive dispatching with real-time spatio-temporal adjustments. Techniques transferable to dynamic itinerary updates. Handles city-scale optimization with millisecond response times.",4,"Develops hierarchical spatio-temporal optimization; Achieves real-time performance at city scale; Adapts to dynamic conditions","Hierarchical optimization with adaptive updates","Response time, service rate, system efficiency","NYC taxi and rideshare data","Techniques directly applicable to dynamic itinerary updates in NYC",Dynamic_Updates
khodadadian2023,M. Khodadadian et al.,"Time Dependent Orienteering Problem with Time Windows and Service Time Dependent Profits",Computers & Operations Research,2023,Not provided,"Advanced formulation handling time-dependent constraints and profits. Essential for modeling real-world dynamic conditions. Extends classical orienteering problem with realistic temporal constraints.",4,"Extends orienteering with time-dependent profits; Models service time dependencies; Handles complex temporal constraints","Mixed-integer programming with heuristic solutions","Solution quality, constraint satisfaction, computation time","Synthetic instances based on real networks","Critical for modeling time-dependent aspects of NYC itineraries",Dynamic_Updates
huang2024,"Y. Huang, L. Bian, Z. Li, and M. Zhou",Deep Learning-Based Itinerary Recommendation with Queuing Time Awareness,Information Technology & Tourism,2024,Not provided,"Incorporates real-time queuing information into recommendations. Crucial for popular tourist destinations with variable wait times. First work to systematically integrate queue predictions into itinerary planning.",4,"Integrates real-time queue predictions; Improves visitor experience at popular sites; Develops deep learning queue model","Deep learning with queue prediction module","Wait time accuracy, user satisfaction, itinerary feasibility","Theme park and museum visit data","Essential for NYC attractions with variable wait times",Dynamic_Updates
chen2024,"A. Chen, X. Ge, Z. Fu, Y. Xiao, and J. Chen",TravelAgent: An AI Assistant for Personalized Travel Planning,arXiv preprint arXiv:2409.08069,2024,https://arxiv.org/abs/2409.08069,"Features advanced memory module with continual learning through user interactions. Demonstrates superior performance in dynamic personalization. Implements tool-use capabilities for real-time information access.",4,"Implements continual learning for personalization; Develops memory module for user preferences; Integrates tool-use for dynamic updates","LLM with memory module and tool integration","Task success rate, personalization score, adaptation speed","User interaction logs from travel planning","Shows importance of continual learning for dynamic preference updates",Dynamic_Updates
lim2019survey,"K. H. Lim, J. Chan, S. Karunasekera, and C. Leckie","Tour Recommendation and Trip Planning Using Location-Based Social Media: A Survey",Knowledge and Information Systems,2019,Not provided,"Comprehensive survey of evaluation methodologies in tour recommendation. Provides taxonomy of metrics and benchmarking approaches. Essential reference for designing evaluation framework for thesis.",5,"Provides comprehensive evaluation taxonomy; Reviews state-of-art in tour recommendation; Identifies key research gaps","Survey and analysis of existing methods","Various metrics across surveyed papers","Analysis of multiple datasets","Essential survey for understanding evaluation methodologies",Evaluation_Methods
werneck2021,H. Werneck et al.,"Points of Interest Recommendations: Methods, Evaluation, and Future Directions",Information Systems,2021,Not provided,"Systematic analysis of POI recommendation evaluation methods. Essential reference for designing comprehensive evaluation framework. Identifies gaps between academic metrics and real-world performance.",4,"Analyzes POI recommendation evaluation methods; Identifies gaps in current metrics; Proposes future evaluation directions","Systematic literature review and analysis","Comprehensive metric analysis","Review of evaluation practices","Critical for designing thesis evaluation framework",Evaluation_Methods
ruizmeza2022,"J. Ruiz-Meza and J. R. Montoya-Torres","A Systematic Literature Review for the Tourist Trip Design Problem: Extensions, Solution Techniques and Future Research Lines",Operations Research Perspectives,2022,Not provided,"Recent systematic review covering solution techniques and evaluation approaches. Identifies research gaps directly relevant to thesis objectives. Provides comprehensive taxonomy of problem variants.",4,"Reviews recent advances in trip design; Identifies key research gaps; Provides solution technique taxonomy","Systematic literature review","Analysis of solution quality metrics","Review of 100+ papers","Identifies gaps that thesis directly addresses",Evaluation_Methods
gavalas2014,"D. Gavalas, C. Konstantopoulos, K. Mastakas, and G. Pantziou",A Survey on Algorithmic Approaches for Solving Tourist Trip Design Problems,Journal of Heuristics,2014,Not provided,"Foundational survey establishing evaluation criteria for tourist trip design algorithms. Provides comprehensive framework for benchmarking. Reviews both exact and heuristic solution approaches.",4,"Establishes evaluation criteria for algorithms; Reviews exact and heuristic approaches; Provides benchmarking framework","Survey of algorithmic approaches","Solution quality, runtime, scalability analysis","Analysis of benchmark instances","Foundational framework for algorithm evaluation",Evaluation_Methods
vansteenwegen2011,"P. Vansteenwegen, W. Souffriau, and D. Van Oudheusden",The Orienteering Problem: A Survey,European Journal of Operational Research,2011,Not provided,"Essential mathematical foundations for the Orienteering Problem underlying most itinerary optimization formulations. Comprehensive review of solution methods and applications. Standard reference for problem formulation.",5,"Provides mathematical foundations for orienteering; Reviews comprehensive solution methods; Establishes standard problem formulations","Survey of exact and heuristic methods","Optimality gap, computation time, solution quality","Standard OR benchmark instances","Core mathematical foundation for itinerary optimization",Ranking_Algorithms
gunawan2016,"A. Gunawan, H. C. Lau, and P. Vansteenwegen","Orienteering Problem: A Survey of Recent Variants, Solution Approaches and Applications",European Journal of Operational Research,2016,Not provided,"Updated survey covering variants directly applicable to dynamic itinerary planning including time-dependent and stochastic versions. Reviews recent algorithmic advances and real-world applications.",4,"Reviews modern orienteering variants; Covers time-dependent and stochastic versions; Analyzes recent algorithmic advances","Survey of modern solution approaches","Performance analysis across variants","Review of recent applications","Covers variants essential for dynamic itinerary planning",Ranking_Algorithms
sarkar2020,"J. L. Sarkar, A. Majumder, C. R. Panigrahi, and S. Roy",MULTITOUR: A Multiple Itinerary Tourists Recommendation Engine,Electronic Commerce Research and Applications,2020,10.1016/j.elerap.2020.100943,"Algorithm for multiple itinerary recommendations using geo-tagged photos. Demonstrates dynamic sequence-based recommendations. Provides diverse itinerary options based on photo popularity and user preferences.",3,"Develops multiple itinerary generation; Uses geo-tagged photos for popularity; Provides diverse recommendations","Clustering with sequence generation from photos","Diversity score, popularity coverage, user satisfaction","Flickr geo-tagged photos","Relevant for generating diverse ranked itineraries",Dynamic_Updates
kurata2014,"Y. Kurata and T. Hara",CT-Planner4: Toward a More User-Friendly Interactive Day-Tour Planner,"Information and Communication Technologies in Tourism 2014, Dublin, Ireland",2014,10.1007/978-3-319-03973-2_6,"Implements collaborative planning through iterative cycles with hot-start mechanisms. Validated through international student user tests. Demonstrates importance of user-friendly interfaces in tour planning.",3,"Implements iterative collaborative planning; Develops hot-start mechanism for efficiency; Validates with international user tests","Iterative planning with hot-start optimization","User satisfaction, planning time, interface usability","Kyoto tourist data with user studies","Shows importance of iterative refinement in interactive planning",Interactive_Planning
liao2020,"L. Liao, L. Kennedy, L. Wilcox, and T.-S. Chua",Crowd Knowledge Enhanced Multimodal Conversational Assistant in Travel Domain,"MultiMedia Modeling (MMM)",2020,10.1007/978-3-030-37731-1_33,"First multimodal conversational system for travel combining text and image inputs. Advances toward human-like interactive planning assistants. Leverages crowd knowledge for enhanced recommendations.",3,"Develops first multimodal travel assistant; Combines text and image understanding; Integrates crowd knowledge","Multimodal deep learning with knowledge graphs","Response quality, multimodal understanding, user engagement","Travel forums and image datasets","Advances interactive planning with multimodal inputs",Interactive_Planning